Country Name,GDP per capita,GDP Total,group_label,group average,GDP Cumulative
Puerto Rico,35948.1919590315,104988600000.0,6,41044.67,0.009127672674244674
Lithuania,38214.206929898195,54219315600.0854,6,41044.67,0.004713808598449236
Slovenia,40656.5573650452,53742159516.9278,6,41044.67,0.004672324813146954
Estonia,38811.1433407717,31386949981.236,6,41044.67,0.0027287706062526047
Cyprus,41254.40458771,24564647934.6244,6,41044.67,0.0021356420192793503
Malta,45651.5750035376,14786156563.3046,6,41044.67,0.0012855033519827764
"Bahamas, The",37265.8121022677,12827000000.0,6,41044.67,0.0011151749560670055
Russian Federation,29181.363217767597,1699876578871.35,3,30566.22,0.3709251384238599
Turkey,27875.193251484703,754411708202.616,3,30566.22,0.1646179909599272
Poland,34217.7157138218,592164400687.607,3,30566.22,0.12921447652427248
Malaysia,29525.5773629342,364701517787.844,3,30566.22,0.0795804605171196
Romania,32297.303374015697,250077444017.08398,3,30566.22,0.054568673803548066
Greece,31399.4156733879,209852761468.68103,3,30566.22,0.04579136248119977
Kazakhstan,27443.5711721515,180161741180.147,3,30566.22,0.03931257105165822
Hungary,33978.9550945494,160967157503.612,3,30566.22,0.035124176614260684
Slovak Republic,34177.9527593862,105422304975.57599,3,30566.22,0.023003895431038434
Oman,29052.4973969582,76983094928.4785,3,30566.22,0.016798257883876715
Panama,32762.494747114502,66800800000.0,3,30566.22,0.014576408837444094
Croatia,29973.426092504902,60415553038.8826,3,30566.22,0.013183102616062092
Latvia,32204.4578365291,34117202555.0666,3,30566.22,0.007444615825447345
Trinidad and Tobago,27260.8112233827,24100202833.7504,3,30566.22,0.00525883536679313
Seychelles,30259.9610295443,1698843062.76141,3,30566.22,0.000370699617870834
St. Kitts and Nevis,27448.8953536914,1050992592.5925901,3,30566.22,0.00022933404562153312
Luxembourg,121292.73927222,71104919108.1411,7,20908.47,0.5690030634965487
"Macao SAR, China",129103.01435268599,53859116535.5306,7,20908.47,0.4309969365034514
China,16784.6593497155,14342902842915.9,4,14021.83,0.7312416121571865
Brazil,15258.8508327006,1839758040765.62,4,14021.83,0.09379605024467272
Indonesia,12301.7528999018,1119190780752.8,4,14021.83,0.05705950042277202
South Africa,12999.1202555973,351431649241.43896,4,14021.83,0.017916975982396364
Colombia,15643.731446093101,323802808108.24603,4,14021.83,0.01650837979001196
